amenity,grid number,numbers,Latitude,Longitude
fast,75,1,56.46543285,-3.057797957
fast,105,4,56.47537816,-3.040370478
fast,116,2,56.46075832,-3.03112199
fast,147,5,56.47559782,-3.013820196
fast,233,1,56.48581611,-2.960966133
fast,249,12,56.49568031,-2.952358912
fast,275,1,56.48601882,-2.934407935
fast,286,1,56.471391,-2.925197462
fast,343,6,56.47654787,-2.889914156
fast,382,21,56.46204097,-2.863028389
rapid,105,2,56.47637816,-3.039370478
rapid,106,1,56.48127603,-3.039504513
rapid,147,2,56.47659782,-3.012820196
rapid,177,4,56.486537,-2.995376519
rapid,202,2,56.47198391,-2.977293229
rapid,242,2,56.46239425,-2.950500431
rapid,249,1,56.49668031,-2.951358912
rapid,275,3,56.48701882,-2.933407935
rapid,288,1,56.48218709,-2.924435867
rapid,343,1,56.47754787,-2.888914156
rapid,412,1,56.47295907,-2.844551308